"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"Pyrimidine metabolism",39,10,46.284,20,5.3217e-05,0.0028737,0.0028737
"Alanine, aspartate and glutamate metabolism",28,13,47.1,20,0.0069599,0.36887,0.18792
"Lysine degradation",30,3,66.981,20,0.014939,0.77685,0.26891
"Glyoxylate and dicarboxylate metabolism",31,8,43.413,20,0.029521,1,0.39853
"Arginine biosynthesis",14,9,33.179,20,0.048997,1,0.45033
"Starch and sucrose metabolism",18,3,49.145,20,0.052076,1,0.45033
"Pyruvate metabolism",23,4,38.28,20,0.058376,1,0.45033
"Citrate cycle (TCA cycle)",20,8,37.929,20,0.077477,1,0.50302
"Pentose and glucuronate interconversions",19,1,51.781,20,0.10692,1,0.50302
"beta-Alanine metabolism",21,3,37.537,20,0.10845,1,0.50302
"Nicotinate and nicotinamide metabolism",15,7,31.522,20,0.11684,1,0.50302
"Pentose phosphate pathway",23,7,36.231,20,0.12179,1,0.50302
"Histidine metabolism",16,4,34.495,20,0.13016,1,0.50302
"Fructose and mannose metabolism",20,3,41.929,20,0.13041,1,0.50302
"Primary bile acid biosynthesis",46,2,38.058,20,0.15734,1,0.56642
"Taurine and hypotaurine metabolism",8,2,34.294,20,0.17702,1,0.59745
"Tyrosine metabolism",42,4,28.631,20,0.20778,1,0.63224
"Neomycin, kanamycin and gentamicin biosynthesis",2,1,35.658,20,0.21075,1,0.63224
"Glycolysis / Gluconeogenesis",26,5,28.348,20,0.22373,1,0.63587
"Amino sugar and nucleotide sugar metabolism",42,2,30.141,20,0.23739,1,0.64094
"Vitamin B6 metabolism",9,2,28.348,20,0.25544,1,0.65684
"Pantothenate and CoA biosynthesis",20,4,25.079,20,0.30051,1,0.73762
"Thiamine metabolism",7,1,24.132,20,0.3224,1,0.75695
"Inositol phosphate metabolism",30,3,24.981,20,0.3399,1,0.75904
"Glycine, serine and threonine metabolism",33,9,23.1,20,0.35379,1,0.75904
"Phenylalanine metabolism",8,2,19.591,20,0.37952,1,0.75904
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,2,19.591,20,0.37952,1,0.75904
"Ubiquinone and other terpenoid-quinone biosynthesis",18,1,18.191,20,0.39903,1,0.76956
"Nitrogen metabolism",6,2,20.009,20,0.43339,1,0.807
"Cysteine and methionine metabolism",33,6,20.326,20,0.44978,1,0.80961
"Biosynthesis of unsaturated fatty acids",36,3,12.221,20,0.50068,1,0.8358
"Biotin metabolism",10,1,11.456,20,0.51169,1,0.8358
"Glutathione metabolism",28,8,19.071,20,0.54448,1,0.8358
"Glycerolipid metabolism",16,2,10.698,20,0.56829,1,0.8358
"Glycerophospholipid metabolism",36,2,10.698,20,0.56829,1,0.8358
"Galactose metabolism",27,3,13.072,20,0.57348,1,0.8358
"Valine, leucine and isoleucine biosynthesis",8,4,9.8163,20,0.5989,1,0.8358
"Selenocompound metabolism",20,1,6.5517,20,0.62444,1,0.8358
"Ascorbate and aldarate metabolism",9,2,9.5183,20,0.65404,1,0.8358
"Linoleic acid metabolism",5,1,4.8642,20,0.67454,1,0.8358
"Arginine and proline metabolism",36,8,14.833,20,0.68472,1,0.8358
"Valine, leucine and isoleucine degradation",39,4,5.9546,20,0.68695,1,0.8358
"Purine metabolism",70,14,17.339,20,0.69038,1,0.8358
"Porphyrin metabolism",31,2,10.222,20,0.69622,1,0.8358
"Riboflavin metabolism",4,1,4.2114,20,0.6965,1,0.8358
"Propanoate metabolism",21,1,3.3494,20,0.72854,1,0.85525
"Fatty acid biosynthesis",47,1,2.3521,20,0.77176,1,0.8867
"Lipoic acid metabolism",28,3,7.6572,20,0.82231,1,0.92479
"Butanoate metabolism",15,4,5.7978,20,0.83916,1,0.92479
"D-Amino acid metabolism",15,1,0.6019,20,0.88386,1,0.93585
"Sphingolipid metabolism",32,1,0.6019,20,0.88386,1,0.93585
"One carbon pool by folate",9,1,0.11867,20,0.94835,1,0.95666
"Folate biosynthesis",26,1,0.11867,20,0.94835,1,0.95666
"Tryptophan metabolism",41,3,3.5679,20,0.95666,1,0.95666
