"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"Starch and sucrose metabolism",18,3,32.157,7.1429,0.0019108,0.10318,0.053776
"Alanine, aspartate and glutamate metabolism",28,13,21.231,7.1429,0.0019917,0.10556,0.053776
"Glyoxylate and dicarboxylate metabolism",31,8,22.423,7.1429,0.008097,0.42105,0.14575
"Thiamine metabolism",7,1,35.569,7.1429,0.01894,0.96593,0.18416
"Citrate cycle (TCA cycle)",20,8,18.847,7.1429,0.020324,1,0.18416
"Pyrimidine metabolism",39,10,18.956,7.1429,0.020462,1,0.18416
"Taurine and hypotaurine metabolism",8,2,24.484,7.1429,0.042557,1,0.3283
"Glycine, serine and threonine metabolism",33,9,14.25,7.1429,0.088289,1,0.48406
"Pantothenate and CoA biosynthesis",20,4,16.912,7.1429,0.08907,1,0.48406
"Cysteine and methionine metabolism",33,6,15.192,7.1429,0.08964,1,0.48406
"Glutathione metabolism",28,8,13.229,7.1429,0.11115,1,0.54565
"Arginine biosynthesis",14,9,10.768,7.1429,0.17142,1,0.65257
"Valine, leucine and isoleucine biosynthesis",8,4,11.113,7.1429,0.21752,1,0.65257
"Fatty acid biosynthesis",47,1,11.339,7.1429,0.21973,1,0.65257
"Pyruvate metabolism",23,4,10.405,7.1429,0.22498,1,0.65257
"Histidine metabolism",16,4,9.7759,7.1429,0.24151,1,0.65257
"Glycolysis / Gluconeogenesis",26,5,9.5118,7.1429,0.24217,1,0.65257
"beta-Alanine metabolism",21,3,9.8344,7.1429,0.24416,1,0.65257
"Primary bile acid biosynthesis",46,2,9.749,7.1429,0.25156,1,0.65257
"Lysine degradation",30,3,9.5345,7.1429,0.25617,1,0.65257
"Porphyrin metabolism",31,2,9.3518,7.1429,0.26215,1,0.65257
"D-Amino acid metabolism",15,1,8.5634,7.1429,0.28986,1,0.65257
"Sphingolipid metabolism",32,1,8.5634,7.1429,0.28986,1,0.65257
"Arginine and proline metabolism",36,8,8.7237,7.1429,0.29453,1,0.65257
"Fructose and mannose metabolism",20,3,8.2979,7.1429,0.30657,1,0.65257
"Amino sugar and nucleotide sugar metabolism",42,2,8.325,7.1429,0.3142,1,0.65257
"Nitrogen metabolism",6,2,7.6011,7.1429,0.34533,1,0.69067
"Pentose phosphate pathway",23,7,7.6094,7.1429,0.36662,1,0.70706
"Pentose and glucuronate interconversions",19,1,5.5908,7.1429,0.39619,1,0.7289
"Valine, leucine and isoleucine degradation",39,4,5.5366,7.1429,0.40494,1,0.7289
"Vitamin B6 metabolism",9,2,5.6631,7.1429,0.43568,1,0.75893
"Lipoic acid metabolism",28,3,5.0832,7.1429,0.53717,1,0.88046
"Purine metabolism",70,14,5.642,7.1429,0.54224,1,0.88046
"Ubiquinone and other terpenoid-quinone biosynthesis",18,1,2.7429,7.1429,0.55527,1,0.88046
"Selenocompound metabolism",20,1,2.5375,7.1429,0.57067,1,0.88046
"Tyrosine metabolism",42,4,4.3969,7.1429,0.59723,1,0.89584
"Phenylalanine metabolism",8,2,1.8448,7.1429,0.63293,1,0.89943
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,2,1.8448,7.1429,0.63293,1,0.89943
"Tryptophan metabolism",41,3,2.5363,7.1429,0.73383,1,0.97276
"Nicotinate and nicotinamide metabolism",15,7,3.8953,7.1429,0.76203,1,0.97276
"Neomycin, kanamycin and gentamicin biosynthesis",2,1,0.60723,7.1429,0.78252,1,0.97276
"Glycerolipid metabolism",16,2,1.674,7.1429,0.78446,1,0.97276
"Glycerophospholipid metabolism",36,2,1.674,7.1429,0.78446,1,0.97276
"Propanoate metabolism",21,1,0.55102,7.1429,0.79262,1,0.97276
"One carbon pool by folate",9,1,0.45037,7.1429,0.81217,1,0.9746
"Ascorbate and aldarate metabolism",9,2,1.073,7.1429,0.84639,1,0.98298
"Linoleic acid metabolism",5,1,0.24683,7.1429,0.86043,1,0.98298
"Folate biosynthesis",26,2,0.70401,7.1429,0.89005,1,0.98298
"Butanoate metabolism",15,4,1.4584,7.1429,0.91339,1,0.98298
"Galactose metabolism",27,3,1.0111,7.1429,0.92407,1,0.98298
"Biotin metabolism",10,1,0.052588,7.1429,0.93535,1,0.98298
"Inositol phosphate metabolism",30,3,0.68965,7.1429,0.96615,1,0.98298
"Riboflavin metabolism",4,1,0.0097552,7.1429,0.97213,1,0.98298
"Biosynthesis of unsaturated fatty acids",36,3,0.18911,7.1429,0.98298,1,0.98298
