compound	D1_Cell_1	D1_Cell_2	D1_Cell_3	D2_Cell_1	D2_Cell_2	D2_Cell_3	D3_Cell_1	D3_Cell_2	D3_Cell_3	DT_Cell_1	DT_Cell_2	DT_Cell_3	D_WT_Cell_1	D_WT_Cell_2	D_WT_Cell_3	D1_Media_1	D1_Media_2	D1_Media_3	D2_Media_1	D2_Media_2	D2_Media_3	D3_Media_1	D3_Media_2	D3_Media_3	DT_Media_1	DT_Media_2	DT_Media_3	D_WT_Media_1	D_WT_Media_2	D_WT_Media_3
1-Methyladenosine	2.363474663	3.615331231	-2.191669954	-1.195121232	-1.200377381	2.311624252	2.314140264	3.150278014	7.064597184	3.388787268	1.933257137	6.063859259	3.754421361	-1.511832816	3.709666849	137.0696576	100.8645805	121.7751335	62.38234309	53.48893762	53.21909374	50.32290454	37.3145593	41.39159951	57.06578842	51.40037764	28.51491056	62.90959743	66.33044942	72.96730807
3-Methyl-Histidine	6.979129853	9.870098191	4.545844127	3.237701981	2.517201479	3.514050807	3.076571076	3.403403834	3.892802704	5.501189215	6.867033017	7.636936631	6.25027345	3.984737395	8.586111572	29.4652056	32.43963568	20.83682398	16.38269665	11.12808255	10.395683	10.34259136	9.149329815	6.418342802	17.86164718	16.55940058	5.443643972	14.95121958	7.087755274	23.85601615
4-Pyridoxic acid	4.459033383	0.342319268	-1.492774496	0.409026907	-0.366000298	0.883127848	1.466627971	3.924397115	0.916416968	0.312698108	1.311565534	2.348559588	1.281810602	-0.312986591	0.817671986	59.17374923	38.53747947	23.22591792	27.57322851	21.24948373	28.17369097	14.91793652	19.93285129	14.72128693	22.59996522	24.59328055	20.31241421	27.77739335	30.29330065	25.97433656
5-Hydroxymethyluracil	20.81538766	10.93098301	7.921194092	9.662699707	7.162245066	7.279634341	14.90261188	14.61903832	9.857139231	15.39957368	17.63110107	39.84528464	10.76098448	4.597568842	25.67260084	57.93220378	78.29203686	69.36156621	65.63016103	34.23852227	37.59524527	17.97626058	22.28088272	29.28411105	14.95805624	24.43827811	21.80220452	47.7318602	51.40118661	64.16642106
5-L-Hydroxytryptophan	-3.13265806	-0.137769441	0.480328646	-0.275015242	-0.172129963	-1.63379086	-0.044382074	0.307357844	2.220490789	0.692771237	0.573305033	1.02822659	0.537870802	-0.277199669	1.999281782	15.17550464	18.81514845	13.81713274	10.65542737	9.872071727	11.26772871	3.479050913	6.289795707	9.002354674	10.2342177	3.096850751	7.441931598	11.95659425	9.635495609	10.3023221
5'-Methylthioadenosine	16.57095334	14.6191929	24.12019129	22.2311095	9.531846098	12.85852203	15.27441866	13.02851206	23.76487355	17.38286243	34.69639633	29.55732754	11.22869687	10.34822307	22.61848962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acetoacetate	617.6553777	402.2426185	242.573423	88.38928393	148.9234469	134.2517523	146.0172613	139.9614479	283.5632537	294.9143613	329.6723402	474.7603868	221.3580074	104.2522297	392.0287808	4426.727237	3433.109501	4776.071231	2156.631792	1941.898517	2356.383478	1908.160944	1506.012373	1623.936458	1872.800982	2068.518746	1267.232912	2281.198818	2371.937783	2823.443865
aconitate	208.851601	190.3260772	102.5912694	136.2580026	92.06432809	116.1047641	121.8673781	90.03699614	137.4610128	100.7476704	126.2484734	149.1619021	92.13571075	68.69269995	129.5408581	29.11334747	49.74842476	55.50523967	23.51682807	17.78666319	30.58456258	17.14749425	13.00462414	21.95809092	17.86442553	18.35871928	13.37471779	25.71347628	24.82840861	32.90049926
Adonitol	8.403040116	20.83981812	6.523039429	13.95727148	10.3224934	11.13286226	8.585816767	10.64232452	15.95692819	12.78140492	22.7416051	11.14680158	15.75281278	15.66372588	13.02376902	60.20912867	75.93355115	91.15541001	31.30081069	36.25487337	34.42812618	30.45318303	27.25593921	27.2158097	26.22165314	30.35357073	23.0646979	33.7872478	35.22392938	44.68731664
ADP-D-glucose	75.95053569	78.82894258	72.47651839	89.1279473	63.26453489	78.60940278	56.91321487	71.36060616	76.43290567	92.17613572	114.3680955	80.49626249	75.82737121	82.38419316	64.31972259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a-ketoglutarate	99.90152189	154.7021122	130.2969203	113.9999668	119.5396271	127.2625974	78.46237497	61.46760896	106.299771	101.5835267	119.2342129	135.1411956	132.6034914	166.8275928	51.80426309	162.2740621	129.9861543	144.3227532	78.51050436	50.13389754	79.72919072	65.26787896	47.94313213	43.4903579	80.98664601	81.30741339	49.71690675	62.55064454	75.06728867	79.55544092
alanine	90.47702797	74.86214467	62.94942431	56.85496318	55.94622234	35.19455881	54.21355879	45.15586434	59.0736366	76.30165096	102.5807963	137.3601614	60.1959781	42.3357726	76.73760567	219.8940209	213.0557159	227.3793239	101.8269968	115.7609859	140.970017	84.76976146	80.21656655	94.85065274	86.04650479	101.0408075	67.35676419	113.3725778	117.0943089	161.7821608
allantoin	63.52820163	53.8744649	41.59926159	28.3909848	27.09298716	31.99717362	40.6970314	23.12294249	48.80707523	33.27957401	38.44882307	65.78639453	38.17151233	31.30537113	44.65397356	450.3251442	422.9393849	530.7502407	217.7337227	224.1592322	236.3077785	181.3716223	158.5131473	175.4909402	183.5711807	199.1376714	131.7617268	216.1049081	214.5297101	289.5305409
Aminoadipic acid	78.24049853	101.840519	90.76615465	35.27085357	18.73375153	27.96608171	15.83069142	10.10568573	20.65296355	50.86421422	67.2478753	84.55438793	59.682776	54.97100271	78.84209062	33.58397631	28.63491442	37.30258454	14.30044547	11.72764866	14.24283455	18.8060248	6.19906467	14.92079014	16.18517926	27.16259362	14.82745264	17.10555753	19.00433003	19.97863743
AMP	27.25363689	7.814722434	7.13299861	4.103013192	3.778641167	5.455074441	9.712784069	4.553983568	4.795116529	5.389948299	13.59731539	17.90746913	4.480208719	4.225366028	6.011029278	49.34957288	48.80920479	42.56892164	24.6386086	25.09451646	27.80806719	17.51552333	18.05642326	14.81586659	20.02566235	19.81803617	11.8799132	19.63535624	21.59234241	29.03806745
Arachidic acid	3.519635426	17.86033924	36.9468849	22.14475194	27.51307691	30.14078512	-0.041079554	20.77622382	20.55057809	23.42120849	37.68514239	22.93690918	22.98611074	29.46104299	9.340240078	11.08613866	8.016566689	11.65328947	-3.179931921	-1.388893558	2.475396856	2.783383285	3.252371952	1.799120481	3.282622187	3.868554506	2.504779228	3.860605385	0.88874517	-8.220640747
arginine	280.9273143	218.1205895	158.6666379	113.2383194	136.2915929	137.6341774	160.4604189	132.3757005	236.448819	102.2059042	138.1922364	285.2263505	211.2208463	175.849316	303.9124081	2354.687752	2102.406241	2675.518221	1155.758844	1039.549822	1298.092266	1056.338505	837.5922617	942.517265	1003.104968	1090.69212	731.24285	1319.820573	1282.707499	1688.953514
asparagine	92.08729766	69.60294229	58.57854276	34.44404746	29.21403073	36.6975052	38.35889441	30.5247099	39.68528681	63.33690156	75.80342039	85.15778033	32.09637116	19.97700667	28.51829864	39.91686783	14.42920162	67.82182281	9.559730152	6.604939448	17.96504439	21.06052962	1.907116468	5.894395473	43.55423809	50.80755255	30.24338022	9.001190614	7.192826431	13.98447132
aspartate	1309.005948	1146.591795	1118.620533	1250.718369	917.1834737	1263.617815	1540.076003	1426.65334	1910.145523	702.6184893	819.1703178	878.7948448	780.6634298	1202.202762	1204.765493	104.7991296	81.72931569	105.2975512	40.30540279	36.89513109	34.21765234	47.71072962	28.68138062	38.70831492	43.78318494	54.81219601	29.72204637	29.66661257	37.7699133	36.99196355
ATP	296.7256999	290.5391732	370.088402	460.692482	236.4808687	383.5492446	281.4165152	379.1085762	410.0786472	225.4121911	226.0139158	271.7038872	505.1545176	260.5220845	171.8006452	-48.18758665	-37.30030302	-34.30876029	-21.53479431	-21.62950445	-25.1315136	-17.42096195	-18.69171268	-20.79670068	-23.20318805	-23.94647205	-21.77567903	-24.07125438	-27.24159513	-33.2874323
carnitine	5974.928749	4829.109549	4554.951366	4047.002069	3760.56259	3883.914449	3394.471747	3233.871299	3960.534713	2175.755358	2310.267423	2613.680237	3596.394832	5761.425743	6763.777303	1365.547863	955.9040733	1071.699599	671.3913981	567.7412462	712.6101866	520.3541585	390.3731701	413.5795788	566.9405569	542.4798379	464.5732917	825.3569437	710.2014841	951.6772911
Carnosine	36.40372364	18.79711131	12.22891998	5.947985622	12.54481773	10.85146852	11.92837142	11.77962602	16.56910995	17.14648885	23.18359091	26.68695775	16.35407749	11.69294569	25.39730963	165.6186561	139.0206173	175.0312311	82.79634863	77.84572578	89.25832567	62.7795842	47.97597263	62.02830494	77.67233994	82.5161678	54.61534894	106.1149524	81.32513862	133.9411483
citrate	510.1218299	401.8127332	420.290748	277.5740343	260.0931051	366.6676456	334.9208161	295.3808734	442.2960204	145.2135283	237.9969669	317.4205583	55.98870763	75.823801	190.1424056	24.51122956	32.11488116	30.13284743	0.173806063	4.083006387	32.43038977	5.236276928	4.362880246	11.39826079	-3.980629548	-9.719827975	3.608169753	0.141123596	11.09400873	-16.46435337
