"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"Fatty acid biosynthesis",47,1,84.465,20,0.0095649,0.5165,0.5165
"Purine metabolism",70,10,36.301,20,0.032656,1,0.67496
"Lysine degradation",30,3,58.146,20,0.054436,1,0.67496
"Nitrogen metabolism",6,2,36.914,20,0.13306,1,0.67496
"Taurine and hypotaurine metabolism",8,2,40.171,20,0.16474,1,0.67496
"Primary bile acid biosynthesis",46,2,36.939,20,0.17297,1,0.67496
"Riboflavin metabolism",4,1,38.2,20,0.19095,1,0.67496
"Linoleic acid metabolism",5,1,38.016,20,0.19234,1,0.67496
"Folate biosynthesis",26,2,30.996,20,0.2168,1,0.67496
"Histidine metabolism",16,4,29.092,20,0.21809,1,0.67496
"Arginine and proline metabolism",36,8,27.009,20,0.22512,1,0.67496
"Butanoate metabolism",15,4,26.651,20,0.25156,1,0.67496
"Porphyrin metabolism",31,2,29.221,20,0.25531,1,0.67496
"Biotin metabolism",10,1,26.027,20,0.30114,1,0.67496
"Nicotinate and nicotinamide metabolism",15,7,23.461,20,0.30795,1,0.67496
"Propanoate metabolism",21,1,25.119,20,0.31117,1,0.67496
"Cysteine and methionine metabolism",33,4,23.304,20,0.32942,1,0.67496
"beta-Alanine metabolism",21,3,23.552,20,0.33238,1,0.67496
"Thiamine metabolism",7,1,22.175,20,0.34586,1,0.67496
"Valine, leucine and isoleucine degradation",39,4,21.758,20,0.34907,1,0.67496
"Arginine biosynthesis",14,9,21.14,20,0.35448,1,0.67496
"Vitamin B6 metabolism",9,2,23.578,20,0.35585,1,0.67496
"Ascorbate and aldarate metabolism",9,2,21.545,20,0.36298,1,0.67496
"Lipoic acid metabolism",28,3,20.817,20,0.36746,1,0.67496
"Pentose and glucuronate interconversions",19,1,20,20,0.3739,1,0.67496
"Glycine, serine and threonine metabolism",33,8,19.725,20,0.38474,1,0.67496
"Pentose phosphate pathway",23,5,19.261,20,0.40622,1,0.67496
"Tryptophan metabolism",41,3,20.673,20,0.42123,1,0.67496
"Tyrosine metabolism",42,4,17.137,20,0.42206,1,0.67496
"Biosynthesis of unsaturated fatty acids",36,2,17.126,20,0.4557,1,0.67496
"Glycolysis / Gluconeogenesis",26,3,19.009,20,0.45712,1,0.67496
"Glyoxylate and dicarboxylate metabolism",31,8,16.986,20,0.46779,1,0.67496
"Phenylalanine metabolism",8,2,13.669,20,0.4715,1,0.67496
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,2,13.669,20,0.4715,1,0.67496
"Galactose metabolism",27,3,17.91,20,0.47701,1,0.67496
"Valine, leucine and isoleucine biosynthesis",8,4,14.189,20,0.4772,1,0.67496
"Ubiquinone and other terpenoid-quinone biosynthesis",18,1,12.941,20,0.48367,1,0.67496
"Inositol phosphate metabolism",30,3,17.744,20,0.48923,1,0.67496
"Fructose and mannose metabolism",20,2,17.37,20,0.49359,1,0.67496
"Pyruvate metabolism",23,3,13.308,20,0.49997,1,0.67496
"Starch and sucrose metabolism",18,3,13.791,20,0.5207,1,0.67693
"Pantothenate and CoA biosynthesis",20,4,15.308,20,0.53513,1,0.67693
"D-Amino acid metabolism",15,1,9.5335,20,0.55157,1,0.67693
"Sphingolipid metabolism",32,1,9.5335,20,0.55157,1,0.67693
"Selenocompound metabolism",20,1,7.7265,20,0.59379,1,0.71255
"Citrate cycle (TCA cycle)",20,7,13.746,20,0.61356,1,0.72027
"Amino sugar and nucleotide sugar metabolism",42,2,13.084,20,0.63391,1,0.72832
"One carbon pool by folate",9,1,5.4696,20,0.65559,1,0.73754
"Glutathione metabolism",28,7,12.787,20,0.69271,1,0.76339
"Alanine, aspartate and glutamate metabolism",28,13,12.308,20,0.7724,1,0.83419
"Glycerolipid metabolism",16,2,4.6689,20,0.83066,1,0.86261
"Glycerophospholipid metabolism",36,2,4.6689,20,0.83066,1,0.86261
"Neomycin, kanamycin and gentamicin biosynthesis",2,1,0.58739,20,0.88526,1,0.90197
"Pyrimidine metabolism",39,8,8.1243,20,0.94801,1,0.94801
