"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"Nitrogen metabolism",6,2,75.944,20,4.4206e-06,0.00023871,0.00023871
"Porphyrin metabolism",31,2,72.553,20,0.00057478,0.030464,0.0084991
"Glutathione metabolism",28,7,52.28,20,0.00062414,0.032455,0.0084991
"Histidine metabolism",16,4,58.144,20,0.00062956,0.032455,0.0084991
"Fatty acid biosynthesis",47,1,91.431,20,0.0028359,0.1418,0.030628
"Riboflavin metabolism",4,1,89.003,20,0.0047126,0.23092,0.037999
"Arginine and proline metabolism",36,8,64.553,20,0.0049258,0.23644,0.037999
"Thiamine metabolism",7,1,87.233,20,0.0063931,0.30048,0.043154
"Pyrimidine metabolism",39,8,46.876,20,0.0072225,0.33223,0.043335
"Cysteine and methionine metabolism",33,5,69.668,20,0.01159,0.52153,0.062584
"Butanoate metabolism",15,4,52.328,20,0.013479,0.59309,0.062878
"Vitamin B6 metabolism",9,2,68.195,20,0.016729,0.71936,0.062878
"Nicotinate and nicotinamide metabolism",15,7,43.838,20,0.018081,0.7594,0.062878
"D-Amino acid metabolism",15,1,77.674,20,0.020289,0.83186,0.062878
"Sphingolipid metabolism",32,1,77.674,20,0.020289,0.83186,0.062878
"Alanine, aspartate and glutamate metabolism",28,13,39.46,20,0.020418,0.83186,0.062878
"Glycine, serine and threonine metabolism",33,9,56.771,20,0.020785,0.83186,0.062878
"Pantothenate and CoA biosynthesis",20,4,61.206,20,0.021455,0.83186,0.062878
"Lipoic acid metabolism",28,3,63.505,20,0.022367,0.83186,0.062878
"Taurine and hypotaurine metabolism",8,2,70.454,20,0.024218,0.84763,0.062878
"Folate biosynthesis",26,2,68.936,20,0.024697,0.84763,0.062878
"Purine metabolism",70,10,54.621,20,0.026109,0.86159,0.062878
"Arginine biosynthesis",14,9,55.021,20,0.026781,0.86159,0.062878
"Pyruvate metabolism",23,3,64.242,20,0.042668,1,0.096003
"Lysine degradation",30,3,50.953,20,0.046838,1,0.10117
"Tyrosine metabolism",42,4,61.891,20,0.051001,1,0.10473
"Selenocompound metabolism",20,1,63.65,20,0.057189,1,0.10473
"Ubiquinone and other terpenoid-quinone biosynthesis",18,1,62.741,20,0.060344,1,0.10473
"Valine, leucine and isoleucine degradation",39,4,61.077,20,0.061348,1,0.10473
"beta-Alanine metabolism",21,3,45.967,20,0.064024,1,0.10473
"Phenylalanine metabolism",8,2,61.507,20,0.064435,1,0.10473
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,2,61.507,20,0.064435,1,0.10473
"Glyoxylate and dicarboxylate metabolism",31,8,40.756,20,0.065298,1,0.10473
"Valine, leucine and isoleucine biosynthesis",8,4,60.129,20,0.06594,1,0.10473
"Biotin metabolism",10,1,59.81,20,0.071223,1,0.10989
"Tryptophan metabolism",41,3,42.338,20,0.073285,1,0.10993
"One carbon pool by folate",9,1,57.171,20,0.081967,1,0.11963
"Neomycin, kanamycin and gentamicin biosynthesis",2,1,56.295,20,0.085742,1,0.12184
"Biosynthesis of unsaturated fatty acids",36,2,38.864,20,0.10476,1,0.14283
"Primary bile acid biosynthesis",46,2,50.294,20,0.1058,1,0.14283
"Linoleic acid metabolism",5,1,39.786,20,0.17934,1,0.2362
"Propanoate metabolism",21,1,39.05,20,0.18466,1,0.23742
"Citrate cycle (TCA cycle)",20,7,31.386,20,0.19995,1,0.24832
"Galactose metabolism",27,3,32.704,20,0.20233,1,0.24832
"Starch and sucrose metabolism",18,3,25.383,20,0.34036,1,0.40843
"Ascorbate and aldarate metabolism",9,2,24.271,20,0.34816,1,0.4087
"Pentose phosphate pathway",23,5,20.895,20,0.43229,1,0.49667
"Glycolysis / Gluconeogenesis",26,3,20.571,20,0.44401,1,0.49951
"Amino sugar and nucleotide sugar metabolism",42,2,20.425,20,0.45412,1,0.50046
"Inositol phosphate metabolism",30,3,13.269,20,0.63866,1,0.68975
"Fructose and mannose metabolism",20,2,8.8046,20,0.74108,1,0.77071
"Glycerolipid metabolism",16,2,6.7291,20,0.77068,1,0.77071
"Glycerophospholipid metabolism",36,2,6.7291,20,0.77068,1,0.77071
"Pentose and glucuronate interconversions",19,1,2.3741,20,0.77071,1,0.77071
